pid,process_type,priority,arrival_time,cpu_burst,io_frequency,memory_mb,num_threads
1,cpu_bound,19,0,16,0.15,716,15
2,io_bound,2,0,3,0.82,35,4
3,mixed,12,0,8,0.44,269,8
4,interactive,2,0,4,0.51,356,1
5,io_bound,2,0,4,0.74,140,4
6,io_bound,9,0,7,0.92,62,2
7,io_bound,9,0,7,0.79,256,1
8,interactive,1,0,2,0.5,75,4
9,mixed,6,0,13,0.51,993,2
10,mixed,7,0,22,0.44,458,4
11,mixed,8,1,7,0.32,160,8
12,mixed,11,1,25,0.47,242,2
13,io_bound,5,1,6,0.88,250,4
14,mixed,10,1,15,0.39,188,8
15,io_bound,8,1,4,0.7,227,3
16,io_bound,9,1,8,0.92,150,4
17,interactive,5,1,1,0.53,435,3
18,cpu_bound,13,1,29,0.19,623,9
19,cpu_bound,18,1,28,0.16,1766,5
20,interactive,4,1,2,0.57,305,2
21,cpu_bound,16,1,37,0.16,1502,16
22,mixed,6,1,18,0.53,346,4
23,cpu_bound,12,1,18,0.13,774,12
24,mixed,7,2,22,0.55,364,2
25,io_bound,7,2,5,0.86,220,3
26,mixed,7,2,22,0.3,380,8
27,io_bound,4,2,4,0.74,134,3
28,mixed,12,2,15,0.45,194,5
29,cpu_bound,17,2,58,0.16,1363,16
30,mixed,12,2,23,0.54,334,4
31,cpu_bound,11,2,34,0.14,710,4
32,io_bound,1,2,6,0.77,107,1
33,mixed,12,2,22,0.47,663,2
34,interactive,2,3,3,0.6,439,3
35,io_bound,8,3,6,0.91,156,1
36,mixed,10,3,28,0.33,813,2
37,cpu_bound,10,3,28,0.07,1104,7
38,mixed,14,3,9,0.34,298,4
39,cpu_bound,12,3,41,0.18,642,5
40,io_bound,6,3,2,0.66,206,1
41,cpu_bound,10,3,40,0.15,897,4
42,io_bound,9,3,7,0.67,197,4
43,io_bound,9,3,1,0.89,70,1
44,cpu_bound,17,3,53,0.18,1586,7
45,cpu_bound,11,3,47,0.14,1050,14
46,io_bound,10,3,2,0.94,195,1
47,cpu_bound,17,3,42,0.16,637,13
48,interactive,4,4,4,0.44,402,2
49,io_bound,6,4,3,0.72,177,2
50,mixed,7,4,11,0.49,570,5
51,cpu_bound,20,4,40,0.12,1248,6
52,io_bound,9,4,1,0.68,148,1
53,cpu_bound,13,4,48,0.07,933,8
54,io_bound,3,5,2,0.86,119,3
55,io_bound,5,5,1,0.72,63,1
56,interactive,4,5,1,0.81,420,2
57,io_bound,2,5,3,0.65,165,4
58,mixed,12,5,22,0.45,608,6
59,mixed,15,5,16,0.51,838,8
60,io_bound,7,5,5,0.95,60,1
61,mixed,6,5,9,0.39,659,4
62,interactive,5,5,1,0.79,120,4
63,mixed,10,5,13,0.33,588,5
64,mixed,8,5,10,0.45,952,6
65,mixed,14,5,20,0.38,164,8
66,mixed,14,6,8,0.53,483,6
67,mixed,10,6,18,0.48,154,2
68,cpu_bound,12,6,37,0.17,1825,15
69,interactive,3,6,4,0.83,284,1
70,io_bound,7,6,7,0.86,53,2
71,cpu_bound,18,6,47,0.13,1795,5
72,io_bound,9,6,4,0.77,124,4
73,mixed,7,6,11,0.52,667,8
74,cpu_bound,19,6,39,0.11,1320,14
75,mixed,7,6,11,0.36,691,7
76,mixed,12,6,15,0.44,424,7
77,io_bound,10,6,5,0.84,135,1
78,io_bound,6,6,8,0.82,250,3
79,cpu_bound,10,6,34,0.2,633,14
80,cpu_bound,16,7,28,0.19,1167,8
81,io_bound,3,7,6,0.88,166,1
82,interactive,4,7,2,0.59,223,4
83,cpu_bound,15,7,27,0.1,1391,14
84,mixed,14,7,16,0.39,186,7
85,cpu_bound,20,7,26,0.09,1182,4
86,mixed,14,8,20,0.32,518,6
87,cpu_bound,16,8,54,0.05,1621,9
88,cpu_bound,15,8,46,0.07,1456,4
89,io_bound,7,8,2,0.88,123,4
90,interactive,5,8,2,0.81,284,2
91,mixed,11,8,8,0.39,875,8
92,mixed,14,8,25,0.45,884,6
93,interactive,4,8,4,0.44,194,4
94,mixed,7,8,23,0.5,910,6
95,cpu_bound,14,8,27,0.05,1271,13
96,io_bound,5,9,1,0.76,162,4
97,cpu_bound,16,9,42,0.14,1778,7
98,io_bound,10,9,8,0.88,115,4
99,cpu_bound,16,9,35,0.13,1077,12
100,io_bound,2,9,8,0.83,204,2
101,mixed,14,9,17,0.46,306,5
102,cpu_bound,20,9,40,0.19,671,14
103,mixed,10,9,11,0.45,958,8
104,mixed,11,9,10,0.57,815,7
105,mixed,8,9,18,0.32,942,4
106,mixed,6,9,18,0.34,496,2
107,interactive,2,9,1,0.46,256,2
108,io_bound,6,9,5,0.94,208,2
109,io_bound,2,9,4,0.72,36,3
110,io_bound,9,9,7,0.79,207,3
111,mixed,9,10,14,0.36,932,6
112,mixed,12,10,18,0.31,501,7
113,io_bound,6,10,1,0.82,150,2
114,mixed,14,10,18,0.31,983,8
115,interactive,4,10,4,0.56,475,1
116,cpu_bound,20,10,32,0.1,1691,5
117,cpu_bound,15,10,52,0.13,1407,7
118,mixed,10,10,8,0.51,772,4
119,mixed,6,10,13,0.42,453,8
120,mixed,7,10,10,0.55,904,8
121,mixed,12,10,12,0.51,918,3
122,io_bound,1,10,5,0.81,42,2
123,mixed,9,11,13,0.55,721,7
124,mixed,6,11,12,0.53,204,7
125,mixed,5,11,10,0.49,834,4
126,io_bound,5,11,1,0.81,134,4
127,io_bound,8,11,1,0.85,59,2
128,io_bound,10,11,1,0.66,246,3
129,cpu_bound,17,11,40,0.06,1156,5
130,cpu_bound,18,11,34,0.16,554,6
131,interactive,5,12,1,0.77,409,4
132,mixed,6,12,7,0.51,777,4
133,cpu_bound,20,12,46,0.15,1078,4
134,interactive,3,12,1,0.59,413,2
135,cpu_bound,11,12,23,0.12,1576,6
136,cpu_bound,10,12,33,0.2,2018,9
137,io_bound,3,12,7,0.92,61,4
138,io_bound,5,12,3,0.69,236,2
139,mixed,12,12,14,0.54,475,4
140,interactive,2,12,3,0.78,118,2
141,io_bound,1,12,5,0.93,38,2
142,io_bound,10,12,1,0.73,197,3
143,cpu_bound,10,12,31,0.19,1181,16
144,interactive,2,12,1,0.7,489,3
145,mixed,10,13,25,0.58,246,4
146,cpu_bound,20,13,37,0.09,1250,4
147,mixed,5,13,15,0.41,748,7
148,io_bound,8,13,6,0.89,210,1
149,io_bound,1,13,3,0.69,104,4
150,cpu_bound,15,13,25,0.06,773,11
151,io_bound,10,13,1,0.89,67,2
152,io_bound,4,13,3,0.92,137,1
153,io_bound,7,13,1,0.94,88,4
154,io_bound,4,13,4,0.7,206,1
155,mixed,11,13,17,0.57,511,5
156,interactive,2,13,2,0.62,86,2
157,cpu_bound,14,13,39,0.16,1759,11
158,cpu_bound,20,13,43,0.11,1051,6
159,cpu_bound,13,14,24,0.13,566,12
160,mixed,6,14,18,0.5,610,2
161,cpu_bound,16,14,42,0.13,2039,5
162,cpu_bound,17,14,43,0.14,1247,4
163,io_bound,10,14,4,0.68,227,4
164,mixed,5,14,8,0.35,536,5
165,cpu_bound,14,14,51,0.08,683,12
166,mixed,15,14,16,0.45,254,2
167,cpu_bound,16,14,51,0.15,632,13
168,cpu_bound,14,14,42,0.1,1772,9
169,io_bound,1,14,3,0.8,242,1
170,cpu_bound,20,14,50,0.19,1814,9
171,interactive,4,14,1,0.71,425,4
172,mixed,6,14,15,0.45,745,3
173,cpu_bound,13,15,21,0.14,552,12
174,interactive,5,15,1,0.73,347,4
175,io_bound,8,15,7,0.92,129,3
176,io_bound,5,15,4,0.73,113,4
177,cpu_bound,17,15,44,0.09,808,7
178,mixed,14,15,20,0.45,571,2
179,interactive,4,15,1,0.46,407,1
180,mixed,14,15,16,0.3,568,8
181,cpu_bound,11,16,35,0.06,1633,12
182,mixed,15,16,24,0.45,776,4
183,interactive,2,16,2,0.74,435,3
184,io_bound,7,16,3,0.68,73,1
185,cpu_bound,14,16,52,0.17,537,5
186,cpu_bound,13,16,23,0.07,904,5
187,interactive,2,16,3,0.45,131,2
188,io_bound,5,16,1,0.76,194,3
189,cpu_bound,14,16,22,0.06,1129,14
190,cpu_bound,18,16,32,0.1,1209,16
191,io_bound,2,16,6,0.86,234,2
192,cpu_bound,13,16,47,0.12,604,4
193,cpu_bound,17,16,32,0.14,1819,4
194,cpu_bound,17,17,34,0.1,1342,14
195,io_bound,8,17,6,0.68,226,2
196,cpu_bound,18,17,27,0.15,945,6
197,interactive,2,17,1,0.84,208,3
198,io_bound,3,17,7,0.71,195,3
199,io_bound,2,17,1,0.81,186,4
200,cpu_bound,17,17,46,0.1,773,14
201,io_bound,5,17,5,0.94,213,4
202,mixed,5,17,13,0.36,968,7
203,cpu_bound,19,17,38,0.18,1583,15
204,mixed,14,17,23,0.34,190,2
205,io_bound,5,17,8,0.73,32,4
206,interactive,3,17,1,0.76,445,2
207,io_bound,5,17,1,0.8,88,3
208,io_bound,5,17,2,0.69,107,3
209,mixed,10,17,14,0.32,231,7
210,io_bound,8,17,4,0.71,135,1
211,cpu_bound,13,18,37,0.14,990,16
212,mixed,8,18,17,0.52,572,2
213,interactive,4,18,1,0.68,207,1
214,io_bound,4,18,3,0.67,83,2
215,cpu_bound,12,18,19,0.14,841,6
216,io_bound,1,18,6,0.84,256,4
217,cpu_bound,17,18,27,0.14,753,15
218,mixed,12,18,15,0.5,267,2
219,cpu_bound,12,18,49,0.15,1483,11
220,cpu_bound,14,18,31,0.17,1835,6
221,io_bound,2,18,3,0.75,181,2
222,io_bound,9,18,1,0.84,215,1
223,cpu_bound,15,18,29,0.19,840,14
224,mixed,8,18,14,0.46,299,8
225,io_bound,2,19,8,0.72,48,3
226,cpu_bound,20,19,27,0.11,1379,10
227,mixed,14,19,20,0.46,592,6
228,mixed,10,19,23,0.42,885,3
229,cpu_bound,10,19,50,0.13,1570,16
230,interactive,4,19,2,0.84,298,2
231,mixed,11,19,14,0.3,369,3
232,cpu_bound,14,19,37,0.11,1505,10
233,interactive,5,19,4,0.59,205,3
234,mixed,10,19,2,0.47,348,8
235,mixed,14,19,10,0.32,551,7
236,mixed,7,20,12,0.5,357,8
237,mixed,7,20,23,0.5,691,2
238,cpu_bound,16,20,34,0.17,1320,11
239,mixed,6,20,12,0.54,761,7
240,io_bound,1,20,2,0.79,204,1
241,cpu_bound,20,20,25,0.12,1928,10
242,mixed,14,20,13,0.31,146,7
243,mixed,10,20,14,0.58,233,2
244,mixed,9,20,9,0.52,960,8
245,mixed,15,20,24,0.33,507,2
246,mixed,13,20,4,0.31,438,5
247,mixed,6,21,14,0.58,664,3
248,cpu_bound,12,21,46,0.09,1968,9
249,mixed,6,21,10,0.3,268,7
250,mixed,12,21,18,0.46,307,5
251,io_bound,9,21,1,0.76,79,1
252,cpu_bound,13,21,39,0.14,530,16
253,cpu_bound,16,21,36,0.13,1932,16
254,mixed,12,21,14,0.48,1000,2
255,cpu_bound,13,21,43,0.06,1619,9
256,interactive,5,21,5,0.73,126,2
257,io_bound,8,21,1,0.84,159,4
258,mixed,6,22,23,0.51,398,8
259,io_bound,9,22,5,0.92,197,3
260,io_bound,8,22,3,0.88,116,3
261,mixed,14,22,17,0.48,816,8
262,mixed,15,22,14,0.31,518,5
263,interactive,1,22,1,0.63,463,3
264,cpu_bound,17,22,35,0.13,1076,10
265,cpu_bound,14,22,40,0.19,1026,10
266,io_bound,3,22,1,0.94,97,1
267,io_bound,5,22,7,0.7,238,2
268,mixed,13,23,26,0.58,741,4
269,cpu_bound,12,23,20,0.06,719,12
270,io_bound,9,23,7,0.9,42,4
271,cpu_bound,19,23,28,0.06,716,16
272,cpu_bound,13,23,43,0.07,1197,7
273,cpu_bound,15,23,41,0.15,1591,16
274,io_bound,4,23,4,0.77,72,4
275,io_bound,10,24,6,0.89,161,4
276,cpu_bound,11,24,14,0.09,1290,15
277,cpu_bound,12,24,55,0.12,531,6
278,io_bound,10,24,1,0.91,92,2
279,interactive,4,24,2,0.76,496,2
280,mixed,9,24,8,0.59,1020,5
281,cpu_bound,13,24,42,0.16,530,9
282,mixed,5,24,21,0.35,597,3
283,io_bound,3,25,2,0.8,215,3
284,io_bound,10,25,9,0.85,78,4
285,mixed,15,25,16,0.56,659,6
286,interactive,4,25,5,0.59,375,2
287,io_bound,6,25,4,0.77,229,3
288,mixed,14,25,14,0.5,398,3
289,mixed,13,25,9,0.57,602,8
290,mixed,11,26,23,0.48,872,3
291,io_bound,6,26,1,0.73,236,3
292,cpu_bound,14,26,39,0.13,1787,15
293,cpu_bound,11,26,36,0.11,1926,9
294,cpu_bound,10,26,26,0.2,1202,7
295,mixed,14,27,17,0.54,352,7
296,mixed,6,27,16,0.35,678,5
297,io_bound,5,27,1,0.71,187,2
298,cpu_bound,12,27,34,0.11,1828,16
299,interactive,4,27,2,0.6,271,4
300,mixed,6,27,9,0.47,772,6
301,cpu_bound,12,27,23,0.12,930,12
302,io_bound,6,27,1,0.78,138,1
303,io_bound,3,27,5,0.81,100,1
304,cpu_bound,17,27,44,0.07,1442,4
305,mixed,10,27,16,0.37,914,4
306,mixed,11,27,24,0.51,264,5
307,interactive,2,28,3,0.65,354,4
308,interactive,1,28,2,0.46,127,4
309,io_bound,8,28,5,0.74,165,4
310,io_bound,6,28,2,0.86,107,2
311,io_bound,7,28,7,0.82,177,3
312,io_bound,6,28,3,0.88,173,1
313,interactive,2,28,2,0.52,407,1
314,io_bound,8,28,6,0.85,39,2
315,mixed,7,28,15,0.3,377,2
316,cpu_bound,14,28,23,0.13,1893,8
317,mixed,15,29,13,0.56,262,2
318,cpu_bound,18,29,52,0.07,1767,9
319,mixed,5,29,23,0.35,540,3
320,mixed,13,29,7,0.49,960,6
321,mixed,15,29,16,0.31,209,7
322,cpu_bound,19,30,36,0.17,1965,6
323,mixed,6,30,15,0.43,236,3
324,mixed,14,30,9,0.39,630,3
325,cpu_bound,11,30,33,0.12,998,9
326,mixed,7,30,20,0.35,245,2
327,io_bound,4,30,5,0.73,82,3
328,io_bound,10,30,7,0.92,131,3
329,io_bound,5,31,1,0.76,235,1
330,cpu_bound,10,31,42,0.09,1279,10
331,io_bound,1,31,2,0.93,109,4
332,io_bound,9,31,5,0.83,147,2
333,mixed,15,31,6,0.45,375,7
334,io_bound,10,31,4,0.85,200,4
335,cpu_bound,17,31,46,0.19,1783,8
336,io_bound,1,31,3,0.86,211,3
337,interactive,1,31,4,0.82,249,4
338,mixed,15,31,24,0.53,851,7
339,cpu_bound,18,32,34,0.16,886,14
340,io_bound,3,32,2,0.93,237,3
341,interactive,2,32,4,0.71,404,3
342,cpu_bound,17,32,44,0.06,1404,6
343,mixed,9,32,10,0.55,439,5
344,interactive,4,32,1,0.59,321,1
345,io_bound,8,32,6,0.73,253,2
346,mixed,6,32,25,0.45,938,5
347,mixed,9,32,18,0.55,452,6
348,interactive,2,33,1,0.68,199,1
349,cpu_bound,18,33,48,0.1,1515,10
350,io_bound,2,33,3,0.86,96,3
351,io_bound,2,33,9,0.75,215,4
352,io_bound,1,33,1,0.73,232,1
353,mixed,10,33,20,0.36,219,3
354,interactive,3,33,4,0.73,186,2
355,mixed,14,33,17,0.35,854,7
356,cpu_bound,10,34,49,0.12,1453,5
357,cpu_bound,12,34,28,0.2,1911,8
358,io_bound,4,34,6,0.67,240,3
359,io_bound,9,34,3,0.78,104,4
360,mixed,14,34,14,0.39,332,6
361,cpu_bound,15,34,30,0.06,1911,6
362,io_bound,4,35,8,0.87,171,2
363,interactive,5,35,4,0.72,437,3
364,mixed,13,35,22,0.43,676,7
365,mixed,8,35,3,0.34,363,3
366,cpu_bound,20,35,36,0.18,1128,14
367,io_bound,9,35,2,0.78,162,1
368,cpu_bound,10,35,23,0.1,896,7
369,interactive,2,35,2,0.61,99,1
370,mixed,15,35,11,0.43,969,2
371,cpu_bound,17,35,28,0.18,814,5
372,mixed,12,36,13,0.42,772,6
373,io_bound,8,36,6,0.89,173,2
374,cpu_bound,13,36,39,0.18,1380,5
375,cpu_bound,20,36,25,0.12,1439,8
376,cpu_bound,11,36,19,0.19,932,13
377,io_bound,6,36,9,0.67,119,4
378,mixed,7,36,17,0.47,635,3
379,interactive,5,37,1,0.56,89,3
380,io_bound,3,37,7,0.91,151,3
381,io_bound,1,37,8,0.8,72,1
382,io_bound,9,37,6,0.85,42,1
383,mixed,14,37,23,0.51,666,8
384,cpu_bound,14,37,21,0.18,1334,5
385,interactive,4,37,5,0.53,308,2
386,cpu_bound,19,37,51,0.11,951,11
387,cpu_bound,19,38,40,0.11,1163,15
388,io_bound,6,38,7,0.69,207,2
389,io_bound,7,39,5,0.83,162,1
390,io_bound,4,39,3,0.75,53,1
391,mixed,12,39,9,0.4,835,4
392,io_bound,10,39,2,0.75,193,4
393,io_bound,3,39,4,0.78,189,2
394,io_bound,7,39,7,0.85,115,3
395,io_bound,10,40,5,0.83,45,2
396,mixed,14,40,18,0.39,870,8
397,interactive,4,40,3,0.52,96,3
398,mixed,11,40,19,0.4,189,4
399,mixed,15,40,11,0.54,1007,3
400,io_bound,3,40,6,0.65,89,1
401,io_bound,6,40,2,0.93,216,2
402,mixed,7,40,10,0.41,800,4
403,io_bound,8,41,7,0.92,130,3
404,interactive,3,41,3,0.72,345,3
405,cpu_bound,10,41,35,0.17,963,8
406,io_bound,7,41,6,0.81,201,2
407,mixed,7,41,17,0.36,895,3
408,io_bound,8,41,2,0.79,118,4
409,mixed,10,41,25,0.42,245,3
410,mixed,7,41,12,0.57,441,3
411,mixed,12,41,9,0.52,494,7
412,mixed,7,42,25,0.45,595,6
413,cpu_bound,15,42,34,0.07,1054,9
414,cpu_bound,20,42,29,0.2,755,10
415,io_bound,9,42,8,0.87,177,2
